q1,q2,thresh,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
40,0,0.7,13,9,13,11,29,49,63,45,7,7,17,23,23,73,53,69,11,9,11,17,49,51,58,53,9,21,21,35,45,109,40,12,11,27,23,51,85,47,1,17,19,33,69,62,27,71,1,1,61,57,12,1,1,1,1,1,69,1,1,1,1,1,1,1
40,0,0.8,7,7,9,7,29,41,61,35,5,5,11,23,17,69,41,69,9,7,9,13,49,39,43,53,7,15,15,23,33,91,40,12,9,17,19,31,85,47,1,17,13,23,45,62,13,71,1,1,37,31,12,1,1,1,1,1,41,1,1,1,1,1,1,1
40,0,0.9,3,3,5,5,13,21,29,23,3,3,7,13,11,35,27,37,5,5,5,9,25,25,35,41,5,9,9,15,21,49,27,11,5,11,13,25,41,35,1,17,9,15,27,45,13,29,1,1,23,25,9,1,1,1,1,1,23,1,1,1,1,1,1,1
40,50,0.5,15,11,21,11,23,39,51,61,9,11,19,19,25,57,49,41,13,9,11,19,39,57,57,23,11,17,21,29,51,35,36,12,17,21,33,55,67,59,1,11,23,35,55,45,30,23,1,1,49,41,18,1,1,1,1,1,71,1,1,1,1,1,1,1
40,50,0.6,13,11,9,9,23,39,51,49,7,7,19,19,25,57,49,41,11,9,9,17,39,57,57,23,9,17,21,29,51,35,36,12,13,21,27,55,67,59,1,11,17,35,55,45,30,23,1,1,49,41,18,1,1,1,1,1,55,1,1,1,1,1,1,1
40,50,0.7,9,9,9,9,23,39,51,39,7,7,13,19,21,57,49,41,9,7,9,13,39,51,57,23,7,17,17,29,51,35,36,12,11,19,21,55,67,59,1,11,13,35,55,45,30,23,1,1,37,41,18,1,1,1,1,1,41,1,1,1,1,1,1,1
40,50,0.8,3,7,9,7,17,39,51,31,5,5,13,17,15,53,25,41,7,5,7,11,39,33,39,23,5,13,13,27,33,35,36,12,9,13,17,35,67,59,1,11,9,25,41,45,30,23,1,1,27,41,18,1,1,1,1,1,31,1,1,1,1,1,1,1
40,50,0.9,3,3,5,5,11,17,25,21,3,3,7,9,9,29,23,33,5,3,5,7,21,23,19,23,3,7,9,15,21,35,31,11,5,9,11,23,37,37,1,11,7,15,25,39,19,23,1,1,17,29,15,1,1,1,1,1,21,1,1,1,1,1,1,1
50,0,0.5,13,9,9,11,23,39,51,53,7,9,13,19,25,57,49,50,11,13,15,23,39,57,48,47,9,17,15,29,51,55,51,41,13,21,29,55,67,57,37,15,23,35,49,63,23,41,34,13,49,57,58,27,1,1,1,1,71,1,21,1,1,1,1,1
50,0,0.6,9,7,9,9,23,33,51,43,7,7,13,15,25,57,49,50,9,9,13,23,39,57,35,47,9,15,13,29,51,55,51,41,11,21,25,55,67,57,37,15,23,35,39,63,23,41,34,13,49,57,58,27,1,1,1,1,71,1,21,1,1,1,1,1
50,0,0.7,5,5,9,9,23,25,43,35,5,7,13,13,25,57,41,50,7,7,11,23,39,53,25,47,7,11,11,29,51,55,51,41,9,21,21,55,67,57,37,15,23,25,33,53,23,41,34,13,49,57,58,27,1,1,1,1,71,1,21,1,1,1,1,1
50,0,0.8,3,5,9,7,23,19,31,27,5,5,9,9,17,57,33,50,5,5,7,15,39,35,25,41,5,9,9,17,33,45,47,41,7,21,15,35,67,57,37,15,15,19,25,37,23,41,23,13,33,47,47,27,1,1,1,1,45,1,21,1,1,1,1,1
50,0,0.9,3,3,5,5,11,13,17,19,3,3,5,7,11,27,21,25,3,3,5,9,19,21,21,25,3,5,5,11,19,29,37,23,5,11,11,21,33,27,25,15,9,13,17,23,23,27,23,13,19,27,35,27,1,1,1,1,27,1,17,1,1,1,1,1
